date,fact
01-01-1995,"For centuries, old sailors told tales of giant rogue waves that appeared out of nowhere. But no one had any proof until a freak 85-foot-high wave was measured hitting the Draupner oil platform off the coast of Norway."
02-01-1839,"In an early experiment, French photography pioneer Louis Daguerre takes what is believed to be the first-ever picture of the moon. Unfortunately, it was lost two months later when his laboratory burnt to the ground."
03-01-1942,"Vowing to avenge the death of a friend killed in Pearl Harbor, five brothers, later dubbed ""the fighting Sullivan boys,"" enlist in the Navy on the same day. Tragically, all five died 10 months later when their ship is torpedoed."
04-01-1853,"After a 12-year nightmare in which New York-born African American Solomon Northrup is kidnapped and sold South into slavery, he is finally rescued and allowed to return to his family—and freedom."
05-01-1914,Carmaker Henry Ford boldly announces he is doubling pay for his assembly-line workers to $5 a day. But raises come with a catch: invasive home inspections to rule out people who drank alcohol or had unkempt homes.
06-01-1540,"Henry VIII marries Anne of Cleves, sight unseen, after viewing her painted portrait. When they first met, he is said to have exclaimed, ""I like her not!"" and that she had ""evil smells."" By July, the marriage was annulled."
07-01-1896,"Fannie Farmer’s first cookbook appears, one of the first to replace ""handfuls"" and ""pinches"" with precise measurements. The publisher made her personally pay to print the first 3,000 copies. It went on to sell millions."
08-01-1996,"The Baseball Writers’ Association of America fails to elect anyone for the Hall of Fame, since no player garnered the 75% of votes necessary. Knuckleball pitcher Phil Niekro, the closest at 68.3%, makes it in the following year."
09-01-1431,"Trial begins for Joan of Arc, sparking the medieval equivalent of an international sensation. Accused of heresy, witchcraft—and wearing men's clothing—she was famously burned at the stake almost five months later."
10-01-1863,"The London Tube opens, the world's first urban underground railway. Since its first tunnel ran under the Thames river—and had no ventilation—it was always filled with smoke."
11-01-1966,"""Daktari,"" a TV drama about the adventures of an American veterinarian and his family working in Africa, debuts. In 1974, it became the first US TV show ever aired in the USS.R., in advance of a superpower summit."
12-01-1967,"James Bedford becomes the first American to have his remains cryogenically frozen, in hopes of a later reanimation. As cryo companies shuttered, his family at one point had to keep his liquid nitrogen chamber in self-storage."
13-01-1942,"Luftwaffe test pilot Helmut Schenk becomes the first person to successfully use an airplane ejector seat, after his jet fighter’s control panel iced up. His seat flung him out with air compression; newer seats use mini rockets."
14-01-1794,A physician named Dr. Jesse Bennett is recorded as the first doctor to successfully perform a C-section in the US after it was requested during a difficult labor. The patient? His wife.
15-01-1967,"TV impresario Ed Sullivan demands the Rolling Stones change the lyrics of ""Let's Spend the Night Together"" to a more family-friendly ""Let's Spend Some Time Together."" The band agreed, but conspicuously rolled their eyes on air."
16-01-2014,"Lightning strikes the outstretched hand of Rio de Janeiro's 125-foot-tall Christ the Redeemer statue, breaking off a chunk of its thumb. Weeks earlier, the middle finger on that hand also took a hit."
17-01-1970,"Some 300 Mexican Americans meet in Crystal City, Texas to form La Raza Unida. Born from the ’60s Chicano movement, La Raza helped coalesce Texas Latino power and briefly formed the state's third political party."
18-01-1943,"In a wartime rationing effort, the US government bans the sale of sliced bread—in theory, to conserve wax paper and the steel used in bread-slicing machines. After huge backlash, they rescind the order in less than two months."
19-01-1977,"On her last day in the White House, First Lady and ERA supporter Betty Ford—on a whim—jumps on the Cabinet Room table and strikes a pose. At the time, only three women had ever sat at that table as presidential cabinet members."
20-01-2001,"Donald Rumsfeld, who in 1975 had been the youngest US Secretary of Defense at 43 when he served for Gerald Ford, becomes the oldest Secretary of Defense when he is appointed to the same job 26 years later by George W. Bush."
21-01-1968,"In a “broken arrow” nuclear incident, an American B-52 bomber with four nuclear warheads crashes into a fjord in Greenland, releasing widespread radiation. The crew had been forced to eject due to an accidental cabin fire."
22-01-1968,"Zany, satirical and brimming with countercultural energy, ""Rowan & Martin's Laugh-In"" sketch comedy TV show premieres on NBC, launching the careers of Lily Tomlin and Goldie Hawn and immortalizing the phrase ""Sock it to me!"""
23-01-1960,"The first two humans descend 36,000 feet in a submersible to the deepest part of the ocean—the Pacific’s Mariana Trench—more than a mile deeper than Mt. Everest is high. They survive on 15 chocolate bars during the trip."
24-01-1922,"Inspired by a boy who came into his confectionery shop and couldn’t decide between chocolate and ice cream, Christian K. Nelson combines the two, receiving a patent for the Eskimo bar—originally marketed as ""I-Scream"" bars."
25-01-1920,"The Czech play ""R.U.R."" (""Rossum's Universal Robots"") by Karel Čapek premieres. The hit helps introduce the word ""robot"" to the English language. At first happy to work for their makers, the robots rebel and take over society."
26-01-1932,"To bypass Prohibition laws, a U.S doctor writes a note for the visiting Winston Churchill, saying his ""post-accident convalescence... necessitates the use of alcoholic spirits, especially at mealtimes."""
